id,source,R,occ,method,t_s,omega_rad_s
1,video_1,0,0,windowed,0.000000,16.670615
1,video_1,0,0,windowed,0.033334,16.391958
1,video_1,0,0,windowed,0.066668,16.392416
1,video_1,0,0,windowed,0.100002,16.606630
1,video_1,0,0,windowed,0.133336,16.964526
1,video_1,0,0,windowed,0.166671,17.393974
1,video_1,0,0,windowed,0.200005,17.838205
1,video_1,0,0,windowed,0.233339,18.073187
1,video_1,0,0,windowed,0.266673,17.962087
1,video_1,0,0,windowed,0.300007,17.509988
1,video_1,0,0,windowed,0.333342,17.011015
1,video_1,0,0,windowed,0.366676,16.585391
1,video_1,0,0,windowed,0.400010,16.409263
1,video_1,0,0,windowed,0.433344,16.403194
1,video_1,0,0,windowed,0.466678,16.593565
1,video_1,0,0,windowed,0.500013,16.880989
1,video_1,0,0,windowed,0.533347,17.184256
1,video_1,0,0,windowed,0.566681,17.492103
1,video_1,0,0,windowed,0.600015,17.677365
1,video_1,0,0,windowed,0.633349,17.667058
1,video_1,0,0,windowed,0.666684,17.377080
1,video_1,0,0,windowed,0.700018,16.955898
1,video_1,0,0,windowed,0.733352,16.569254
1,video_1,0,0,windowed,0.766686,16.356259
1,video_1,0,0,windowed,0.800020,16.291684
1,video_1,0,0,windowed,0.833355,16.399238
1,video_1,0,0,windowed,0.866689,16.610606
1,video_1,0,0,windowed,0.900023,16.943247
1,video_1,0,0,windowed,0.933357,17.347371
1,video_1,0,0,windowed,0.966691,17.632183
1,video_1,0,0,windowed,1.000026,17.668227
1,video_1,0,0,windowed,1.033360,17.343418
1,video_1,0,0,windowed,1.066694,16.878014
1,video_1,0,0,windowed,1.100028,16.456941
1,video_1,0,0,windowed,1.133362,16.185381
1,video_1,0,0,windowed,1.166696,16.087428
1,video_1,0,0,windowed,1.200031,16.151016
1,video_1,0,0,windowed,1.233365,16.331612
1,video_1,0,0,windowed,1.266699,16.652211
1,video_1,0,0,windowed,1.300033,17.045355
1,video_1,0,0,windowed,1.333367,17.471460
1,video_1,0,0,windowed,1.366702,17.677407
1,video_1,0,0,windowed,1.400036,17.445523
1,video_1,0,0,windowed,1.433370,16.914538
1,video_1,0,0,windowed,1.466704,16.348192
1,video_1,0,0,windowed,1.500038,16.017057
1,video_1,0,0,windowed,1.533373,15.924465
1,video_1,0,0,windowed,1.566707,15.996060
1,video_1,0,0,windowed,1.600041,16.195522
1,video_1,0,0,windowed,1.633375,16.517605
1,video_1,0,0,windowed,1.666709,16.896317
1,video_1,0,0,windowed,1.700044,17.328241
1,video_1,0,0,windowed,1.733378,17.512082
1,video_1,0,0,windowed,1.766712,17.349846
1,video_1,0,0,windowed,1.800046,16.831662
1,video_1,0,0,windowed,1.833380,16.253217
1,video_1,0,0,windowed,1.866715,15.902712
1,video_1,0,0,windowed,1.900049,15.746960
1,video_1,0,0,windowed,1.933383,15.775106
1,video_1,0,0,windowed,1.966717,15.878320
1,video_1,0,0,windowed,2.000051,16.122923
1,video_1,0,0,windowed,2.033385,16.484776
1,video_1,0,0,windowed,2.066720,16.894952
1,video_1,0,0,windowed,2.100054,17.211123
1,video_1,0,0,windowed,2.133388,17.227024
1,video_1,0,0,windowed,2.166722,16.927088
1,video_1,0,0,windowed,2.200056,16.458280
1,video_1,0,0,windowed,2.233391,16.045704
1,video_1,0,0,windowed,2.266725,15.764721
1,video_1,0,0,windowed,2.300059,15.637146
1,video_1,0,0,windowed,2.333393,15.699487
1,video_1,0,0,windowed,2.366727,15.926844
1,video_1,0,0,windowed,2.400062,16.282346
1,video_1,0,0,windowed,2.433396,16.659581
1,video_1,0,0,windowed,2.466730,17.016486
1,video_1,0,0,windowed,2.500064,17.139428
1,video_1,0,0,windowed,2.533398,16.942601
1,video_1,0,0,windowed,2.566733,16.469093
1,video_1,0,0,windowed,2.600067,15.993038
1,video_1,0,0,windowed,2.633401,15.674915
1,video_1,0,0,windowed,2.666735,15.514246
1,video_1,0,0,windowed,2.700069,15.499094
1,video_1,0,0,windowed,2.733404,15.627908
1,video_1,0,0,windowed,2.766738,15.861747
1,video_1,0,0,windowed,2.800072,16.146699
1,video_1,0,0,windowed,2.833406,16.478724
1,video_1,0,0,windowed,2.866740,16.816159
1,video_1,0,0,windowed,2.900074,16.974647
1,video_1,0,0,windowed,2.933409,16.757501
1,video_1,0,0,windowed,2.966743,16.271680
1,video_1,0,0,windowed,3.000077,15.799762
1,video_1,0,0,windowed,3.033411,15.503756
1,video_1,0,0,windowed,3.066745,15.414222
1,video_1,0,0,windowed,3.100080,15.441220
1,video_1,0,0,windowed,3.133414,15.599332
1,video_1,0,0,windowed,3.166748,15.847919
1,video_1,0,0,windowed,3.200082,16.123840
1,video_1,0,0,windowed,3.233416,16.418285
1,video_1,0,0,windowed,3.266751,16.603585
1,video_1,0,0,windowed,3.300085,16.618728
1,video_1,0,0,windowed,3.333419,16.368840
1,video_1,0,0,windowed,3.366753,15.980969
1,video_1,0,0,windowed,3.400087,15.620382
1,video_1,0,0,windowed,3.433422,15.346864
1,video_1,0,0,windowed,3.466756,15.250788
1,video_1,0,0,windowed,3.500090,15.290949
1,video_1,0,0,windowed,3.533424,15.468864
1,video_1,0,0,windowed,3.566758,15.720602
1,video_1,0,0,windowed,3.600093,16.007743
1,video_1,0,0,windowed,3.633427,16.356016
1,video_1,0,0,windowed,3.666761,16.580446
1,video_1,0,0,windowed,3.700095,16.543904
1,video_1,0,0,windowed,3.733429,16.196904
1,video_1,0,0,windowed,3.766763,15.759603
1,video_1,0,0,windowed,3.800098,15.419139
1,video_1,0,0,windowed,3.833432,15.190788
1,video_1,0,0,windowed,3.866766,15.073790
1,video_1,0,0,windowed,3.900100,15.085127
1,video_1,0,0,windowed,3.933434,15.249640
1,video_1,0,0,windowed,3.966769,15.537822
1,video_1,0,0,windowed,4.000103,15.860607
1,video_1,0,0,windowed,4.033437,16.216692
1,video_1,0,0,windowed,4.066771,16.422144
1,video_1,0,0,windowed,4.100105,16.369190
1,video_1,0,0,windowed,4.133440,16.027182
1,video_1,0,0,windowed,4.166774,15.586928
1,video_1,0,0,windowed,4.200108,15.252399
1,video_1,0,0,windowed,4.233442,15.029136
1,video_1,0,0,windowed,4.266776,14.960744
1,video_1,0,0,windowed,4.300111,14.996463
1,video_1,0,0,windowed,4.333445,15.171753
1,video_1,0,0,windowed,4.366779,15.384960
1,video_1,0,0,windowed,4.400113,15.637281
1,video_1,0,0,windowed,4.433447,15.920302
1,video_1,0,0,windowed,4.466782,16.158676
1,video_1,0,0,windowed,4.500116,16.212321
1,video_1,0,0,windowed,4.533450,15.981637
1,video_1,0,0,windowed,4.566784,15.599424
1,video_1,0,0,windowed,4.600118,15.230994
1,video_1,0,0,windowed,4.633452,14.966897
1,video_1,0,0,windowed,4.666787,14.844671
1,video_1,0,0,windowed,4.700121,14.814847
1,video_1,0,0,windowed,4.733455,14.947558
1,video_1,0,0,windowed,4.766789,15.097974
1,video_1,0,0,windowed,4.800123,15.323820
1,video_1,0,0,windowed,4.833458,15.652497
1,video_1,0,0,windowed,4.866792,15.982798
1,video_1,0,0,windowed,4.900126,16.154325
1,video_1,0,0,windowed,4.933460,15.921417
1,video_1,0,0,windowed,4.966794,15.482150
1,video_1,0,0,windowed,5.000129,15.066719
1,video_1,0,0,windowed,5.033463,14.807839
